"epoch","elated-water-90 - _step","elated-water-90 - _step__MIN","elated-water-90 - _step__MAX","elated-water-90 - val_loss","elated-water-90 - val_loss__MIN","elated-water-90 - val_loss__MAX"
"90","272","272","272","1558.9195556640625","1558.9195556640625","1558.9195556640625"
"91","275","275","275","1544.849609375","1544.849609375","1544.849609375"
"92","278","278","278","1540.1302490234375","1540.1302490234375","1540.1302490234375"
"93","281","281","281","1525.2467041015625","1525.2467041015625","1525.2467041015625"
"94","284","284","284","1517.8956298828125","1517.8956298828125","1517.8956298828125"
"95","287","287","287","1510.0330810546875","1510.0330810546875","1510.0330810546875"
"96","290","290","290","1499.88671875","1499.88671875","1499.88671875"
"97","293","293","293","1488.6685791015625","1488.6685791015625","1488.6685791015625"
"98","296","296","296","1478.974853515625","1478.974853515625","1478.974853515625"
"99","299","299","299","1470.269287109375","1470.269287109375","1470.269287109375"
"100","302","302","302","1462.6666259765625","1462.6666259765625","1462.6666259765625"
"101","305","305","305","1446.103515625","1446.103515625","1446.103515625"
"102","308","308","308","1446.472412109375","1446.472412109375","1446.472412109375"
"103","311","311","311","1433.6756591796875","1433.6756591796875","1433.6756591796875"
"104","314","314","314","1428.36962890625","1428.36962890625","1428.36962890625"
"105","317","317","317","1420.5089111328125","1420.5089111328125","1420.5089111328125"
"106","320","320","320","1420.2362060546875","1420.2362060546875","1420.2362060546875"
"107","323","323","323","1415.010498046875","1415.010498046875","1415.010498046875"
"108","326","326","326","1404.0782470703125","1404.0782470703125","1404.0782470703125"
"109","329","329","329","1401.88818359375","1401.88818359375","1401.88818359375"
"110","332","332","332","1395.5045166015625","1395.5045166015625","1395.5045166015625"
"111","335","335","335","1387.567138671875","1387.567138671875","1387.567138671875"
"112","338","338","338","1381.3624267578125","1381.3624267578125","1381.3624267578125"
"113","341","341","341","1373.315673828125","1373.315673828125","1373.315673828125"
"114","344","344","344","1373.361328125","1373.361328125","1373.361328125"
"115","347","347","347","1371.5262451171875","1371.5262451171875","1371.5262451171875"
"116","350","350","350","1360.4454345703125","1360.4454345703125","1360.4454345703125"
"117","353","353","353","1356.16650390625","1356.16650390625","1356.16650390625"
"118","356","356","356","1353.7398681640625","1353.7398681640625","1353.7398681640625"
"119","359","359","359","1350.7720947265625","1350.7720947265625","1350.7720947265625"
"120","362","362","362","1336.35888671875","1336.35888671875","1336.35888671875"
"121","365","365","365","1335.59130859375","1335.59130859375","1335.59130859375"
"122","368","368","368","1334.66943359375","1334.66943359375","1334.66943359375"
"123","371","371","371","1339.0225830078125","1339.0225830078125","1339.0225830078125"
"124","374","374","374","1341.31494140625","1341.31494140625","1341.31494140625"
"125","377","377","377","1337.6622314453125","1337.6622314453125","1337.6622314453125"
