"epoch","elated-water-90 - _step","elated-water-90 - _step__MIN","elated-water-90 - _step__MAX","elated-water-90 - train_loss","elated-water-90 - train_loss__MIN","elated-water-90 - train_loss__MAX"
"104","315","315","315","690.2274780273438","690.2274780273438","690.2274780273438"
"105","318","318","318","673.99609375","673.99609375","673.99609375"
"106","321","321","321","661.3784790039062","661.3784790039062","661.3784790039062"
"107","324","324","324","647.5773315429688","647.5773315429688","647.5773315429688"
"108","327","327","327","638.2012329101562","638.2012329101562","638.2012329101562"
"109","330","330","330","623.03076171875","623.03076171875","623.03076171875"
"110","333","333","333","609.0712280273438","609.0712280273438","609.0712280273438"
"111","336","336","336","601.3612670898438","601.3612670898438","601.3612670898438"
"112","339","339","339","587.9312133789062","587.9312133789062","587.9312133789062"
"113","342","342","342","574.37890625","574.37890625","574.37890625"
"114","345","345","345","560.700927734375","560.700927734375","560.700927734375"
"115","348","348","348","549.1182250976562","549.1182250976562","549.1182250976562"
"116","351","351","351","538.4573364257812","538.4573364257812","538.4573364257812"
"117","354","354","354","527.6039428710938","527.6039428710938","527.6039428710938"
"118","357","357","357","519.0926513671875","519.0926513671875","519.0926513671875"
"119","360","360","360","506.5701904296875","506.5701904296875","506.5701904296875"
"120","363","363","363","495.8495788574219","495.8495788574219","495.8495788574219"
"121","366","366","366","484.9813537597656","484.9813537597656","484.9813537597656"
"122","369","369","369","478.2050476074219","478.2050476074219","478.2050476074219"
"123","372","372","372","467.5657043457031","467.5657043457031","467.5657043457031"
"124","375","375","375","456.4764404296875","456.4764404296875","456.4764404296875"
"125","378","378","378","446.25421142578125","446.25421142578125","446.25421142578125"
